step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
60,TRANSFER,45807.51,C958487787,45807.51,0.0,C218393296,0.0,0.0
60,CASH_OUT,45807.51,C981996349,45807.51,0.0,C1099066639,267824.05,313631.56
3,CASH_IN,399133.53,C1509715205,3111318.61,3510452.14,C2063763486,450075.95,50942.42
3,CASH_IN,99252.4,C2016442966,3510452.14,3609704.54,C1850180796,430778.28,331525.89
3,PAYMENT,2317.06,C1770453310,46139.96,43822.9,M113042195,0.0,0.0
3,CASH_IN,254872.55,C958817283,7408.0,262280.55,C569022831,786.0,0.0
60,TRANSFER,742973.53,C153820103,742973.53,0.0,C1530694083,0.0,0.0
60,CASH_OUT,742973.53,C261473899,742973.53,0.0,C897961171,0.0,742973.53
60,TRANSFER,581421.85,C1021314422,581421.85,0.0,C2062695733,0.0,0.0
60,CASH_OUT,581421.85,C1175189548,581421.85,0.0,C340833561,407848.96,989270.81
3,CASH_OUT,226424.35,C436126678,0.0,0.0,C977993101,1748436.14,1615874.57
3,CASH_OUT,105759.64,C1384626783,0.0,0.0,C728885526,152509.08,229190.56
3,PAYMENT,7842.1,C192318053,53982.06,46139.96,M109673034,0.0,0.0
